Time,Heart Rate
13:30:08,86
13:30:13,86
13:30:28,86
13:30:33,83
13:30:38,82
13:30:43,84
13:30:53,88
13:30:58,89
13:31:03,89
13:31:08,90
13:31:18,89
13:31:28,90
13:31:38,91
13:31:48,89
13:31:53,88
13:31:58,87
13:32:03,86
13:32:08,85
13:32:23,87
13:32:28,89
13:32:33,90
13:32:43,89
13:32:48,87
13:32:53,88
13:32:58,89
13:33:03,89
13:33:08,90
13:33:13,93
13:33:18,93
13:33:28,90
13:33:33,89
13:33:43,90
13:33:58,90
13:34:08,89
13:34:23,90
13:34:28,91
13:34:38,92
13:34:43,93
13:34:53,91
13:34:58,92
13:35:03,94
13:35:08,92
13:35:18,93
13:35:28,94
13:35:33,93
13:35:38,95
13:35:43,94
13:35:48,94
13:35:53,94
13:35:58,98
13:36:03,96
13:36:08,94
13:36:13,92
13:36:28,92
13:36:33,91
13:36:38,94
13:36:43,97
13:36:58,92
13:37:03,84
13:37:08,84
13:37:13,83
13:37:18,84
13:37:23,87
13:37:28,88
13:37:33,89
13:37:43,90
13:37:48,86
13:37:53,83
13:38:03,83
13:38:08,84
13:38:18,85
13:38:23,86
13:38:28,87
13:38:38,88
13:38:48,89
13:38:53,90
13:39:03,92
13:39:13,91
13:39:18,90
13:39:28,89
13:39:33,88
13:39:43,89
13:39:48,91
13:39:53,92
13:39:58,94
13:40:03,95
13:40:08,97
13:40:13,99
13:40:18,98
13:40:23,99
13:40:28,96
13:40:33,77
13:40:38,73
13:40:48,73
13:40:53,74
13:40:58,75
13:41:03,79
13:41:08,80
13:41:13,81
13:41:23,83
13:41:28,85
13:41:33,86
13:41:43,89
13:41:48,92
13:41:53,91
13:41:58,90
13:42:03,87
13:42:08,84
13:42:18,85
13:42:23,84
13:42:28,85
13:42:33,86
13:42:38,85
13:42:48,86
13:42:58,89
13:43:03,91
13:43:08,90
13:43:18,92
13:43:23,105
13:43:28,106
13:43:33,100
13:43:38,93
13:43:43,103
13:43:48,107
13:43:53,111
13:43:58,113
13:44:08,112
13:44:13,111
13:44:18,108
13:44:23,104
13:44:28,100
13:44:33,98
13:44:39,95
13:44:44,93
13:44:49,97
13:44:54,101
13:44:59,102
13:45:04,98
13:45:09,95
13:45:14,98
13:45:19,94
13:45:24,93
13:45:29,92
13:45:34,88
13:45:44,89
13:45:49,88
13:45:54,86
13:45:59,88
13:46:04,87
13:46:09,86
13:46:14,89
13:46:19,91
13:46:24,92
13:46:29,91
13:46:34,90
13:46:39,91
13:46:44,88
13:46:49,86
13:46:54,89
13:46:59,87
13:47:09,93
13:47:14,95
13:47:19,96
13:47:24,95
13:47:29,93
13:47:34,92
13:47:39,93
13:47:44,94
13:47:54,86
13:47:59,84
13:48:09,83
13:48:14,84
13:48:19,85
13:48:24,87
13:48:29,89
13:48:34,90
13:48:39,91
13:48:44,89
13:48:49,88
13:48:59,89
13:49:09,84
13:49:14,83
13:49:19,83
13:49:24,84
13:49:29,87
13:49:34,89
13:49:39,94
13:49:44,96
13:49:59,97
13:50:04,98
13:50:14,98
13:50:19,97
13:50:24,90
13:50:29,88
13:50:39,89
13:50:44,93
13:50:49,90
13:50:59,98
