Time,Heart Rate
15:00:02,92
15:00:07,92
15:00:12,90
15:00:17,87
15:00:22,86
15:00:27,85
15:00:37,86
15:00:42,85
15:00:52,86
15:01:02,87
15:01:12,93
15:01:17,94
15:01:22,95
15:01:27,96
15:01:32,97
15:01:42,100
15:01:52,96
15:01:57,95
15:02:12,90
15:02:22,93
15:02:27,95
15:02:32,93
15:02:47,91
15:02:52,91
15:02:57,93
15:03:12,93
15:03:17,92
15:03:22,91
15:03:32,92
15:03:47,92
15:03:57,91
15:04:07,92
15:04:22,92
15:04:27,91
15:04:32,90
15:04:47,90
15:04:52,93
15:04:57,94
15:05:02,95
15:05:07,94
15:05:12,95
15:05:17,96
15:05:22,97
15:05:27,96
15:05:32,95
15:05:40,94
15:05:50,97
15:06:00,93
15:06:05,85
15:06:15,84
15:06:30,84
15:06:35,93
15:06:40,94
15:06:45,96
15:06:50,99
15:07:00,102
15:07:05,108
15:07:10,107
15:07:15,112
15:07:20,116
15:07:25,115
15:07:40,115
15:07:45,116
15:07:55,112
15:08:00,102
15:08:05,89
15:08:10,90
15:08:15,91
15:08:20,93
15:08:26,97
15:08:31,86
15:08:36,82
15:08:46,85
15:08:51,87
15:09:01,91
15:09:06,98
15:09:11,101
15:09:16,107
15:09:31,107
15:09:36,106
15:09:51,106
15:09:56,113
15:10:01,114
15:10:11,115
15:10:16,114
15:10:26,112
15:10:31,112
15:10:41,113
15:10:46,114
15:10:51,115
15:11:01,116
15:11:06,113
15:11:11,109
15:11:16,112
15:11:22,122
15:11:27,123
15:11:32,120
15:11:37,116
15:11:42,114
15:11:47,111
15:11:52,97
15:11:57,93
15:12:02,92
15:12:07,91
15:12:12,88
15:12:17,85
15:12:22,84
15:12:27,88
15:12:32,90
15:12:37,94
15:12:42,96
15:12:47,97
15:12:52,98
15:12:57,101
15:13:02,102
15:13:07,99
15:13:12,93
15:13:17,93
15:13:22,95
15:13:27,98
15:13:32,101
15:13:37,105
15:13:42,107
15:13:57,105
15:14:02,109
15:14:07,107
15:14:12,100
15:14:17,97
15:14:22,99
15:14:27,100
15:14:42,91
15:14:47,90
15:14:52,97
15:14:57,103
