Time,Heart Rate
14:32:03,97
14:32:18,97
14:32:23,99
14:32:28,100
14:32:33,99
14:32:48,99
14:32:49,99
14:32:59,103
14:33:04,104
14:33:09,103
14:33:14,104
14:33:19,92
14:33:24,83
14:33:29,84
14:33:34,89
14:33:39,93
14:33:49,96
14:33:54,96
14:33:59,97
14:34:04,99
14:34:09,100
14:34:14,101
14:34:19,101
14:34:24,98
14:34:29,95
14:34:34,94
14:34:39,93
14:34:44,94
14:34:54,95
14:34:59,97
14:35:14,99
14:35:19,102
14:35:24,105
14:35:29,107
14:35:39,106
14:35:44,104
14:35:54,96
14:35:59,94
14:36:04,95
14:36:14,96
14:36:24,95
14:36:29,96
14:36:34,98
14:36:39,100
14:36:44,102
14:36:49,104
14:36:54,105
14:36:59,106
14:37:04,104
14:37:09,100
14:37:19,98
14:37:24,96
14:37:29,94
14:37:39,95
14:37:44,97
14:37:49,99
14:37:54,98
14:37:59,96
14:38:04,97
14:38:09,95
14:38:14,96
14:38:29,96
14:38:34,100
14:38:39,102
14:38:44,103
14:38:49,104
14:38:54,103
14:38:59,102
14:39:04,100
14:39:14,101
14:39:19,102
14:39:24,104
14:39:29,105
14:39:34,104
14:39:39,102
14:39:44,101
14:39:49,100
14:39:54,95
14:39:59,92
14:40:04,90
14:40:09,84
14:40:14,82
14:40:19,81
14:40:24,83
14:40:29,84
14:40:34,84
14:40:44,88
14:40:49,90
14:40:59,92
14:41:14,93
14:41:24,95
14:41:29,96
14:41:34,98
14:41:39,99
14:41:44,100
14:41:49,99
14:41:59,100
14:42:09,101
14:42:19,100
14:42:24,99
14:42:34,98
14:42:39,98
14:42:44,99
14:42:49,97
14:42:59,98
14:43:04,97
14:43:09,95
14:43:14,93
14:43:24,88
14:43:29,86
14:43:39,87
14:43:54,89
14:43:59,88
14:44:09,89
14:44:24,88
14:44:29,85
14:44:34,87
14:44:49,87
14:44:54,86
14:44:59,88
14:45:04,89
14:45:09,91
14:45:14,91
14:45:19,90
14:45:34,92
14:45:39,97
14:45:44,100
14:45:54,97
14:45:59,93
14:46:04,92
14:46:09,91
14:46:14,89
14:46:19,88
14:46:24,87
14:46:34,88
14:46:49,89
14:46:54,88
14:46:59,88
14:47:04,90
14:47:09,90
14:47:19,91
14:47:29,92
14:47:39,90
14:47:44,86
14:47:49,84
14:47:54,84
14:47:59,88
14:48:04,90
14:48:14,94
14:48:19,95
14:48:29,93
14:48:34,92
14:48:39,91
14:48:44,90
14:48:49,89
14:48:54,88
14:48:59,87
14:49:04,85
14:49:09,82
14:49:14,81
14:49:19,80
14:49:24,78
14:49:34,79
14:49:39,78
14:49:54,78
14:50:01,81
14:50:06,82
14:50:11,84
14:50:16,83
14:50:21,85
14:50:26,88
14:50:31,92
14:50:46,92
14:51:01,93
14:51:06,94
14:51:11,94
14:51:21,95
14:51:26,89
14:51:31,89
14:51:41,88
14:51:56,88
14:52:01,89
14:52:16,89
14:52:31,89
14:52:41,90
14:52:46,92
14:52:51,96
14:52:56,98
